phiL	écoSoc	mathPhy	mathSc	mathTech	techInd	techEco	techIfo
ïleDeFrance	9274	5650	8679	9432	839	3353	5355	83
charente	924	464	567	984	132	423	736	12
picardie	1081	490	830	1222	118	410	743	13
hauteNormandie	1135	587	686	904	83	629	813	13
centre	1482	667	1020	1535	173	629	989	26
basseNormandie	1033	509	553	1063	100	433	742	13
bourgogne	1272	527	861	1116	219	769	1232	13
nord	2549	1141	2164	2752	587	1660	1951	41
lorraine	1828	681	1364	1741	302	1289	1683	15
alsace	1076	443	880	1121	145	917	1091	15
francheContée	827	333	481	892	137	451	618	18
loire	2213	809	1439	2623	269	990	1783	14
bretagne	2158	1271	1633	2352	350	950	1509	22
poitoux	1358	503	639	1377	164	495	959	10
aquitaine	2757	873	1466	2296	215	789	1459	17
midi	2493	1120	1494	2329	254	855	1565	28
limousin	551	297	386	663	67	334	378	12
rhône	3951	2127	3218	4743	545	2072	3018	36
auvergne	1066	579	724	1239	126	476	649	12
languedoc	1844	816	1154	1839	156	469	993	16
provence	3944	1645	2415	3616	343	1236	2404	22
corse	327	31	85	178	9	27	79	0
